epoch,step,train_loss,val_metric
0,5,,0.025231439620256424
0,5,0.9492365717887878,
1,11,,0.034415196627378464
1,11,0.9182273149490356,
2,17,,0.03966540843248367
2,17,0.8976647257804871,
3,23,,0.04392009228467941
3,23,0.8836350440979004,
4,29,,0.04694919288158417
4,29,0.8718290328979492,
5,35,,0.04974781349301338
5,35,0.8648145198822021,
6,41,,0.05273459106683731
6,41,0.861588716506958,
7,47,,0.05578336492180824
7,47,0.853966474533081,
8,53,,0.05953507497906685
8,53,0.8363655805587769,
9,59,,0.06406109035015106
9,59,0.824873149394989,
10,65,,0.06783051788806915
10,65,0.8184884786605835,
11,71,,0.07206784188747406
11,71,0.8141617178916931,
12,77,,0.07633026689291
12,77,0.8121814727783203,
13,83,,0.08068622648715973
13,83,0.8044426441192627,
14,89,,0.08460173010826111
14,89,0.8081943392753601,
15,95,,0.0878765806555748
15,95,0.7981442809104919,
16,101,,0.09141101688146591
16,101,0.7894667387008667,
17,107,,0.09524904191493988
17,107,0.7840607166290283,
18,113,,0.09840027242898941
18,113,0.7747494578361511,
19,119,,0.10113169997930527
19,119,0.7730387449264526,
20,125,,0.10429205000400543
20,125,0.7746657133102417,
21,131,,0.1070941761136055
21,131,0.7765840291976929,
22,137,,0.11017913371324539
22,137,0.7797703146934509,
23,143,,0.11348617821931839
23,143,0.7608464956283569,
24,149,,0.11671116203069687
24,149,0.7631440162658691,
25,155,,0.11984163522720337
25,155,0.7606856822967529,
26,161,,0.12274803221225739
26,161,0.7465037107467651,
27,167,,0.12543728947639465
27,167,0.7537553310394287,
28,173,,0.12832674384117126
28,173,0.7472054362297058,
29,179,,0.13115186989307404
29,179,0.7566342353820801,
30,185,,0.13365957140922546
30,185,0.7569770216941833,
31,191,,0.13652092218399048
31,191,0.7438823580741882,
32,197,,0.13922765851020813
32,197,0.7448277473449707,
33,203,,0.14177526533603668
33,203,0.7483724355697632,
34,209,,0.14444999396800995
34,209,0.7360174059867859,
35,215,,0.1467951387166977
35,215,0.739585280418396,
36,221,,0.1492699384689331
36,221,0.7483043670654297,
37,227,,0.15189746022224426
37,227,0.7291952967643738,
38,233,,0.15421846508979797
38,233,0.732277512550354,
39,239,,0.15670251846313477
39,239,0.7273610830307007,
40,245,,0.15914790332317352
40,245,0.7304384112358093,
41,251,,0.161616712808609
41,251,0.725132167339325,
42,257,,0.16413961350917816
42,257,0.7250514030456543,
43,263,,0.1666530966758728
43,263,0.7211562395095825,
44,269,,0.1689702868461609
44,269,0.7218055725097656,
45,275,,0.1710074096918106
45,275,0.731273353099823,
46,281,,0.1728651225566864
46,281,0.7184562683105469,
47,287,,0.1747352033853531
47,287,0.7269014716148376,
48,293,,0.1761520951986313
48,293,0.7254825830459595,
49,299,,0.1777564436197281
49,299,0.7236232161521912,
50,305,,0.1795283406972885
50,305,0.7242139577865601,
51,311,,0.1815173476934433
51,311,0.7147350311279297,
52,317,,0.18313713371753693
52,317,0.7048473358154297,
53,323,,0.18511849641799927
53,323,0.7148463129997253,
54,329,,0.18745769560337067
54,329,0.7085375785827637,
55,335,,0.18988274037837982
55,335,0.695412814617157,
56,341,,0.19219642877578735
56,341,0.6991368532180786,
57,347,,0.1939522922039032
57,347,0.696677565574646,
58,353,,0.19562362134456635
58,353,0.7049448490142822,
59,359,,0.1976635903120041
59,359,0.6981346011161804,
60,365,,0.19958284497261047
60,365,0.6896867156028748,
61,371,,0.20152749121189117
61,371,0.6990753412246704,
62,377,,0.20359843969345093
62,377,0.6719843149185181,
63,383,,0.2058013379573822
63,383,0.6835362315177917,
64,389,,0.207843616604805
64,389,0.6710056066513062,
65,395,,0.20964764058589935
65,395,0.690240740776062,
66,401,,0.21167661249637604
66,401,0.6850999593734741,
67,407,,0.21366725862026215
67,407,0.6648186445236206,
68,413,,0.215733602643013
68,413,0.6772719621658325,
69,419,,0.2177184820175171
69,419,0.6905581951141357,
70,425,,0.219480961561203
70,425,0.6823209524154663,
71,431,,0.22101707756519318
71,431,0.689530074596405,
72,437,,0.2228880524635315
72,437,0.6834880709648132,
73,443,,0.22462110221385956
73,443,0.6825886964797974,
74,449,,0.22635607421398163
74,449,0.6797877550125122,
75,455,,0.22802704572677612
75,455,0.6803802251815796,
76,461,,0.22984281182289124
76,461,0.6691371202468872,
77,467,,0.23171451687812805
77,467,0.6843751668930054,
78,473,,0.23335722088813782
78,473,0.6737183928489685,
79,479,,0.2348833978176117
79,479,0.6626660823822021,
80,485,,0.2365894764661789
80,485,0.6556086540222168,
81,491,,0.23824089765548706
81,491,0.6795811653137207,
82,497,,0.23996511101722717
82,497,0.6523199081420898,
83,503,,0.24187365174293518
83,503,0.6767606139183044,
84,509,,0.24378082156181335
84,509,0.6538197994232178,
85,515,,0.2456047087907791
85,515,0.6549186706542969,
86,521,,0.247380331158638
86,521,0.6693521738052368,
87,527,,0.2490760087966919
87,527,0.6567392349243164,
88,533,,0.25064048171043396
88,533,0.6566416025161743,
89,539,,0.25217482447624207
89,539,0.6644006371498108,
90,545,,0.2538122832775116
90,545,0.6557406187057495,
91,551,,0.25536224246025085
91,551,0.6601277589797974,
92,557,,0.25683480501174927
92,557,0.6473848819732666,
93,563,,0.25846725702285767
93,563,0.6618929505348206,
94,569,,0.2600075900554657
94,569,0.6548500657081604,
95,575,,0.26135724782943726
95,575,0.6674290895462036,
96,581,,0.26254668831825256
96,581,0.6607587933540344,
97,587,,0.2639785408973694
97,587,0.6653681993484497,
98,593,,0.265369713306427
98,593,0.6436939239501953,
99,599,,0.26686954498291016
99,599,0.6557817459106445,
