epoch,step,train_loss,val_metric
0,5,,0.019495684653520584
0,5,0.9502385854721069,
1,11,,0.027222491800785065
1,11,0.9241594076156616,
2,17,,0.03345353901386261
2,17,0.903810977935791,
3,23,,0.039673905819654465
3,23,0.8864078521728516,
4,29,,0.046606551855802536
4,29,0.8701146841049194,
5,35,,0.053780168294906616
5,35,0.8569861650466919,
6,41,,0.06005776301026344
6,41,0.843265175819397,
7,47,,0.06515291333198547
7,47,0.8377114534378052,
8,53,,0.06992507725954056
8,53,0.8200222849845886,
9,59,,0.07340645790100098
9,59,0.8151582479476929,
10,65,,0.0756138265132904
10,65,0.8084238767623901,
11,71,,0.07841568440198898
11,71,0.8096333742141724,
12,77,,0.0819748044013977
12,77,0.8021765947341919,
13,83,,0.08545912057161331
13,83,0.7931504249572754,
14,89,,0.08908536285161972
14,89,0.7890374064445496,
15,95,,0.09235803782939911
15,95,0.7865595817565918,
16,101,,0.09574411809444427
16,101,0.7816963195800781,
17,107,,0.09920205920934677
17,107,0.7792060375213623,
18,113,,0.10257909446954727
18,113,0.7623053789138794,
19,119,,0.1056324765086174
19,119,0.7772310972213745,
20,125,,0.1084352359175682
20,125,0.7769765853881836,
21,131,,0.11104162037372589
21,131,0.777070939540863,
22,137,,0.11388452351093292
22,137,0.7686334848403931,
23,143,,0.11674357950687408
23,143,0.7634285688400269,
24,149,,0.11961285769939423
24,149,0.7651538848876953,
25,155,,0.12261414527893066
25,155,0.7605485916137695,
26,161,,0.12552666664123535
26,161,0.7764686942100525,
27,167,,0.12810739874839783
27,167,0.7637514472007751,
28,173,,0.1307043731212616
28,173,0.756614625453949,
29,179,,0.13350197672843933
29,179,0.7562059760093689,
30,185,,0.13655772805213928
30,185,0.7430955767631531,
31,191,,0.13938648998737335
31,191,0.7505103945732117,
32,197,,0.14187422394752502
32,197,0.7537294626235962,
33,203,,0.14458546042442322
33,203,0.7432353496551514,
34,209,,0.1472763568162918
34,209,0.7469746470451355,
35,215,,0.14989982545375824
35,215,0.7378839254379272,
36,221,,0.15212640166282654
36,221,0.7409526109695435,
37,227,,0.15460196137428284
37,227,0.7442878484725952,
38,233,,0.1571117341518402
38,233,0.7233724594116211,
39,239,,0.15889616310596466
39,239,0.737718939781189,
40,245,,0.16022829711437225
40,245,0.7325078845024109,
41,251,,0.16171537339687347
41,251,0.724404513835907,
42,257,,0.16354794800281525
42,257,0.7380730509757996,
43,263,,0.16480985283851624
43,263,0.7419673204421997,
44,269,,0.16635820269584656
44,269,0.7354121208190918,
45,275,,0.1682618409395218
45,275,0.7275599837303162,
46,281,,0.1701502650976181
46,281,0.7210657596588135,
47,287,,0.17233219742774963
47,287,0.7263757586479187,
48,293,,0.17460359632968903
48,293,0.7107385396957397,
49,299,,0.1767987310886383
49,299,0.7269140481948853,
50,305,,0.1787264496088028
50,305,0.699650228023529,
51,311,,0.18080824613571167
51,311,0.7026365995407104,
52,317,,0.18333251774311066
52,317,0.7058536410331726,
53,323,,0.18564926087856293
53,323,0.7184020280838013,
54,329,,0.18767909705638885
54,329,0.7124564051628113,
55,335,,0.1896342933177948
55,335,0.7045385241508484,
56,341,,0.19163461029529572
56,341,0.6922439336776733,
57,347,,0.193694606423378
57,347,0.7000691890716553,
58,353,,0.19548608362674713
58,353,0.6992262601852417,
59,359,,0.19721068441867828
59,359,0.702012300491333,
60,365,,0.1992916464805603
60,365,0.6920358538627625,
61,371,,0.20140282809734344
61,371,0.7023531198501587,
62,377,,0.2035534679889679
62,377,0.6797482967376709,
63,383,,0.2057584822177887
63,383,0.6841676235198975,
64,389,,0.2076791375875473
64,389,0.7003902792930603,
65,395,,0.2095716893672943
65,395,0.6952915191650391,
66,401,,0.2111978828907013
66,401,0.708518385887146,
67,407,,0.21265073120594025
67,407,0.6990311145782471,
68,413,,0.2143661081790924
68,413,0.7012650370597839,
69,419,,0.21611817181110382
69,419,0.6799430251121521,
70,425,,0.21772535145282745
70,425,0.681549072265625,
71,431,,0.2192961573600769
71,431,0.6856759786605835,
72,437,,0.22105173766613007
72,437,0.6847823858261108,
73,443,,0.22260089218616486
73,443,0.6812884211540222,
74,449,,0.2242686152458191
74,449,0.6853605508804321,
75,455,,0.22580170631408691
75,455,0.678697943687439,
76,461,,0.22750815749168396
76,461,0.674993634223938,
77,467,,0.22925251722335815
77,467,0.6634902954101562,
78,473,,0.23077262938022614
78,473,0.6675862073898315,
79,479,,0.23230816423892975
79,479,0.6678534746170044,
80,485,,0.2337934374809265
80,485,0.6728451251983643,
81,491,,0.23522134125232697
81,491,0.6476101875305176,
82,497,,0.23665578663349152
82,497,0.676868200302124,
83,503,,0.23793232440948486
83,503,0.6702159643173218,
84,509,,0.23939399421215057
84,509,0.6770939230918884,
85,515,,0.2409336119890213
85,515,0.6917561292648315,
86,521,,0.24233223497867584
86,521,0.665136456489563,
87,527,,0.24363628029823303
87,527,0.659184455871582,
88,533,,0.24487628042697906
88,533,0.678087592124939,
89,539,,0.2461395263671875
89,539,0.6817421913146973,
90,545,,0.24732761085033417
90,545,0.6742791533470154,
91,551,,0.24858622252941132
91,551,0.6839492321014404,
92,557,,0.24966061115264893
92,557,0.6616418361663818,
93,563,,0.2508738338947296
93,563,0.6679047346115112,
94,569,,0.2523755431175232
94,569,0.6644525527954102,
95,575,,0.25365880131721497
95,575,0.6585546731948853,
96,581,,0.2548481225967407
96,581,0.6652021408081055,
97,587,,0.2559289336204529
97,587,0.6483423709869385,
98,593,,0.2570401430130005
98,593,0.6553858518600464,
99,599,,0.2581230103969574
99,599,0.6660031676292419,
