epoch,step,train_loss,val_metric
0,5,,0.023064395412802696
0,5,0.9450535774230957,
1,11,,0.030098916962742805
1,11,0.9199116230010986,
2,17,,0.0345013290643692
2,17,0.89821857213974,
3,23,,0.03957009315490723
3,23,0.8777837157249451,
4,29,,0.0453152097761631
4,29,0.862825870513916,
5,35,,0.050945527851581573
5,35,0.8536190986633301,
6,41,,0.05555415526032448
6,41,0.8392155170440674,
7,47,,0.06064103543758392
7,47,0.8308597803115845,
8,53,,0.06530844420194626
8,53,0.8176940679550171,
9,59,,0.06629536300897598
9,59,0.8100702166557312,
10,65,,0.0676443874835968
10,65,0.8110832571983337,
11,71,,0.07016503065824509
11,71,0.8154958486557007,
12,77,,0.07264228165149689
12,77,0.809301495552063,
13,83,,0.07568883895874023
13,83,0.8000167608261108,
14,89,,0.07750639319419861
14,89,0.7980008125305176,
15,95,,0.08034906536340714
15,95,0.7970384359359741,
16,101,,0.08337647467851639
16,101,0.8077080249786377,
17,107,,0.0861123725771904
17,107,0.7905363440513611,
18,113,,0.08937997370958328
18,113,0.7956237196922302,
19,119,,0.09272216260433197
19,119,0.7888266444206238,
20,125,,0.09607253223657608
20,125,0.7870120406150818,
21,131,,0.0989580973982811
21,131,0.7808555364608765,
22,137,,0.10225092619657516
22,137,0.7678059935569763,
23,143,,0.10609716922044754
23,143,0.7791466116905212,
24,149,,0.11038874089717865
24,149,0.7648919820785522,
25,155,,0.11494939029216766
25,155,0.7455171346664429,
26,161,,0.11934582889080048
26,161,0.7556418180465698,
27,167,,0.12339086830615997
27,167,0.7513565421104431,
28,173,,0.12736807763576508
28,173,0.7351548075675964,
29,179,,0.13102208077907562
29,179,0.7481873035430908,
30,185,,0.134609192609787
30,185,0.7441960573196411,
31,191,,0.13814467191696167
31,191,0.7309371829032898,
32,197,,0.14094792306423187
32,197,0.7318882346153259,
33,203,,0.14365600049495697
33,203,0.7461858987808228,
34,209,,0.14703205227851868
34,209,0.7240157127380371,
35,215,,0.15042060613632202
35,215,0.715814471244812,
36,221,,0.1537764072418213
36,221,0.7274577617645264,
37,227,,0.15731525421142578
37,227,0.7279462218284607,
38,233,,0.16032014787197113
38,233,0.7191380858421326,
39,239,,0.16363035142421722
39,239,0.7217919826507568,
40,245,,0.1672164499759674
40,245,0.7120850086212158,
41,251,,0.1706772893667221
41,251,0.720496654510498,
42,257,,0.17376098036766052
42,257,0.7112153768539429,
43,263,,0.1766335517168045
43,263,0.7058887481689453,
44,269,,0.17926816642284393
44,269,0.7113869190216064,
45,275,,0.18167640268802643
45,275,0.7154744863510132,
46,281,,0.18414358794689178
46,281,0.6834418773651123,
47,287,,0.1861751824617386
47,287,0.7073179483413696,
48,293,,0.18872305750846863
48,293,0.6939902305603027,
49,299,,0.19118505716323853
49,299,0.7068253755569458,
50,305,,0.19366584718227386
50,305,0.6948592662811279,
51,311,,0.19618435204029083
51,311,0.679318368434906,
52,317,,0.19863052666187286
52,317,0.6867131590843201,
53,323,,0.20134826004505157
53,323,0.6828521490097046,
54,329,,0.20412053167819977
54,329,0.7006012201309204,
55,335,,0.2065531462430954
55,335,0.6937168836593628,
56,341,,0.20883134007453918
56,341,0.682145357131958,
57,347,,0.21143338084220886
57,347,0.675017774105072,
58,353,,0.21403636038303375
58,353,0.6764582395553589,
59,359,,0.21620668470859528
59,359,0.6849162578582764,
60,365,,0.21802429854869843
60,365,0.672602653503418,
61,371,,0.22009964287281036
61,371,0.6808692812919617,
62,377,,0.2222333699464798
62,377,0.6840166449546814,
63,383,,0.22405877709388733
63,383,0.6923685073852539,
64,389,,0.22588765621185303
64,389,0.6701291799545288,
65,395,,0.22780980169773102
65,395,0.6740375757217407,
66,401,,0.22957465052604675
66,401,0.6808165311813354,
67,407,,0.23146292567253113
67,407,0.6658501029014587,
68,413,,0.23348450660705566
68,413,0.6634482145309448,
69,419,,0.2356911301612854
69,419,0.6697118282318115,
70,425,,0.23801636695861816
70,425,0.6645159125328064,
71,431,,0.24029506742954254
71,431,0.6632880568504333,
72,437,,0.24248835444450378
72,437,0.6461609601974487,
73,443,,0.24451658129692078
73,443,0.6445900797843933,
74,449,,0.24629263579845428
74,449,0.6706126928329468,
75,455,,0.24801823496818542
75,455,0.677269458770752,
76,461,,0.24965016543865204
76,461,0.6679286956787109,
77,467,,0.2511705756187439
77,467,0.6804112792015076,
78,473,,0.2528647184371948
78,473,0.6613478660583496,
79,479,,0.2545716464519501
79,479,0.659104585647583,
80,485,,0.2561989724636078
80,485,0.6582733392715454,
81,491,,0.25795966386795044
81,491,0.6744966506958008,
82,497,,0.2596784830093384
82,497,0.6467916965484619,
83,503,,0.26128721237182617
83,503,0.6316817998886108,
84,509,,0.26268330216407776
84,509,0.6567105054855347,
85,515,,0.2641381025314331
85,515,0.6494655013084412,
86,521,,0.26565033197402954
86,521,0.6551362872123718,
87,527,,0.267286479473114
87,527,0.6398982405662537,
88,533,,0.26886114478111267
88,533,0.6511386632919312,
89,539,,0.2704494893550873
89,539,0.637094259262085,
90,545,,0.27180910110473633
90,545,0.6485344171524048,
91,551,,0.27308496832847595
91,551,0.6528035402297974,
92,557,,0.2743746042251587
92,557,0.6294354200363159,
93,563,,0.27567991614341736
93,563,0.6525627374649048,
94,569,,0.2769353985786438
94,569,0.6534944772720337,
95,575,,0.27809977531433105
95,575,0.6531652212142944,
96,581,,0.2790558338165283
96,581,0.6612803339958191,
97,587,,0.279959499835968
