epoch,step,train_loss,val_metric
0,5,,0.026188520714640617
0,5,0.9339539408683777,
1,11,,0.035538457334041595
1,11,0.9076924324035645,
2,17,,0.04074423760175705
2,17,0.8857364058494568,
3,23,,0.045151881873607635
3,23,0.868562638759613,
4,29,,0.049192871898412704
4,29,0.8552267551422119,
5,35,,0.0515657514333725
5,35,0.8456354141235352,
6,41,,0.05328076705336571
6,41,0.8405303359031677,
7,47,,0.05516233295202255
7,47,0.8349737524986267,
8,53,,0.058249372988939285
8,53,0.8300434947013855,
9,59,,0.06220950558781624
9,59,0.8218110799789429,
10,65,,0.06511691212654114
10,65,0.8066121935844421,
11,71,,0.0682213082909584
11,71,0.8103604316711426,
12,77,,0.07221313565969467
12,77,0.801501452922821,
13,83,,0.07478845119476318
13,83,0.8060435652732849,
14,89,,0.07620029151439667
14,89,0.8091826438903809,
15,95,,0.07969113439321518
15,95,0.7959272265434265,
16,101,,0.08324611186981201
16,101,0.7861688137054443,
17,107,,0.08690105378627777
17,107,0.7856363654136658,
18,113,,0.0911419466137886
18,113,0.7775381803512573,
19,119,,0.09618585556745529
19,119,0.7688028216362,
20,125,,0.10090237110853195
20,125,0.7684919238090515,
21,131,,0.10521748661994934
21,131,0.7701534032821655,
22,137,,0.10964442044496536
22,137,0.7595441341400146,
23,143,,0.11414791643619537
23,143,0.7649470567703247,
24,149,,0.11837848275899887
24,149,0.7499133348464966,
25,155,,0.12259802222251892
25,155,0.7614167928695679,
26,161,,0.1265735626220703
26,161,0.7418065071105957,
27,167,,0.12954172492027283
27,167,0.7509232759475708,
28,173,,0.13279874622821808
28,173,0.7578007578849792,
29,179,,0.13653679192066193
29,179,0.7388849258422852,
30,185,,0.14019975066184998
30,185,0.7316173315048218,
31,191,,0.14366313815116882
31,191,0.7255226373672485,
32,197,,0.14738796651363373
32,197,0.7250317335128784,
33,203,,0.15130959451198578
33,203,0.7271413207054138,
34,209,,0.15551608800888062
34,209,0.7181010246276855,
35,215,,0.1594235897064209
35,215,0.7133008241653442,
36,221,,0.16239678859710693
36,221,0.7193304896354675,
37,227,,0.16477513313293457
37,227,0.7355219125747681,
38,233,,0.16743724048137665
38,233,0.7508510947227478,
39,239,,0.17017875611782074
39,239,0.724462628364563,
40,245,,0.17269738018512726
40,245,0.7365772128105164,
41,251,,0.17520810663700104
41,251,0.7256784439086914,
42,257,,0.1774233877658844
42,257,0.7157541513442993,
43,263,,0.18010398745536804
43,263,0.718764066696167,
44,269,,0.1831224113702774
44,269,0.706641674041748,
45,275,,0.18547743558883667
45,275,0.7100426554679871,
46,281,,0.18802660703659058
46,281,0.7031604647636414,
47,287,,0.1908443123102188
47,287,0.695027768611908,
48,293,,0.1930067390203476
48,293,0.6831538081169128,
49,299,,0.1947319656610489
49,299,0.6974506378173828,
50,305,,0.19717366993427277
50,305,0.68300861120224,
51,311,,0.1994280368089676
51,311,0.6910349130630493,
52,317,,0.201105996966362
52,317,0.6944713592529297,
53,323,,0.20305870473384857
53,323,0.7135941386222839,
54,329,,0.20466957986354828
54,329,0.6798675060272217,
55,335,,0.20657579600811005
55,335,0.7012064456939697,
56,341,,0.2088380753993988
56,341,0.6974127292633057,
57,347,,0.21091577410697937
57,347,0.7041714191436768,
58,353,,0.21299239993095398
58,353,0.6923717856407166,
59,359,,0.21476268768310547
59,359,0.6890131235122681,
60,365,,0.21647828817367554
60,365,0.7065553665161133,
61,371,,0.21841758489608765
61,371,0.6740883588790894,
62,377,,0.22051410377025604
62,377,0.6815453767776489,
63,383,,0.2223311960697174
63,383,0.6755899786949158,
64,389,,0.224267840385437
64,389,0.6747920513153076,
65,395,,0.2264336496591568
65,395,0.6642340421676636,
66,401,,0.2284855842590332
66,401,0.6836271286010742,
67,407,,0.23002633452415466
67,407,0.6781479716300964,
68,413,,0.23140469193458557
68,413,0.6817774772644043,
69,419,,0.23332422971725464
69,419,0.6756960153579712,
70,425,,0.2351592481136322
70,425,0.6805586814880371,
71,431,,0.2367839515209198
71,431,0.6767122149467468,
72,437,,0.23837313055992126
72,437,0.6654820442199707,
73,443,,0.24010872840881348
73,443,0.6682348251342773,
74,449,,0.24170517921447754
74,449,0.6701302528381348,
75,455,,0.2434387356042862
75,455,0.657519519329071,
76,461,,0.24530687928199768
76,461,0.6579092144966125,
