epoch,step,train_loss,val_metric
0,5,,0.02122490294277668
0,5,0.9413979053497314,
1,11,,0.028575757518410683
1,11,0.916400671005249,
2,17,,0.033051200211048126
2,17,0.8947984576225281,
3,23,,0.03756778687238693
3,23,0.8739821910858154,
4,29,,0.042402807623147964
4,29,0.8633556365966797,
5,35,,0.04733404889702797
5,35,0.855079174041748,
6,41,,0.05205485597252846
6,41,0.8421456813812256,
7,47,,0.057263754308223724
7,47,0.8320175409317017,
8,53,,0.0625469759106636
8,53,0.825508713722229,
9,59,,0.06791885942220688
9,59,0.8210281133651733,
